DOI,Query,PII,Title,Journal
10.1016/j.conbuildmat.2013.05.091, ,None,Traditional and Dissipated Energy approaches to compare the 2PB and 4PB flexural methodologies on a Warm Mix Asphalt,Construction and Building Materials
10.1016/j.conbuildmat.2013.05.083, ,None,Effect of warm additives on rutting and fatigue behaviour of asphalt mixtures,Construction and Building Materials
10.1016/j.conbuildmat.2012.06.051, ,None,Flowable high strength cementitious matrices for ferrocement applications,Construction and Building Materials
10.1016/j.conbuildmat.2014.01.017, ,None,Effects of displacement rate and temperature on the fracture properties of polymer mortars,Construction and Building Materials
10.1016/j.conbuildmat.2013.07.003, ,None,Mesh-independent ray-trace algorithm for concrete structure,Construction and Building Materials
10.1016/s0950-0618(11)00740-9, ,None,Editorial Board,Construction and Building Materials
10.1016/s0950-0618(12)00191-2, ,None,Editorial Board,Construction and Building Materials
10.1016/j.conbuildmat.2011.11.037, ,None,Rate effect on the mechanical properties of eight types of high-strength concrete and comparison with FIB MC2010,Construction and Building Materials
10.1016/j.conbuildmat.2011.10.003, ,None,Fatigue behavior of dense asphalt mixes in dry and environmental-conditioning states,Construction and Building Materials
10.1016/j.conbuildmat.2014.05.102, ,None,Evaluation of particle simulation methods using aggregate angularity and slump tests,Construction and Building Materials
10.1016/j.conbuildmat.2013.12.052, ,None,Sodium sulphate effect on the mineralogy of ternary blended cements elaborated with activated paper sludge and fly ash,Construction and Building Materials
10.1016/j.conbuildmat.2012.11.027, ,None,Mechanical analysis of a mixed mode debonding test for “composite” pavements,Construction and Building Materials
10.1016/j.conbuildmat.2010.06.006, ,None,Effect of multiple secondary cracks on FRP debonding from the substrate of reinforced concrete beams,Construction and Building Materials
10.1016/j.conbuildmat.2011.02.002, ,None,The development of a new method for testing the lateral load capacity of small-scale masonry walls using a centrifuge and digital image correlation,Construction and Building Materials
10.1016/j.conbuildmat.2011.07.038, ,None,Effects of concrete composition on transmission length of prestressing strands,Construction and Building Materials
10.1016/j.conbuildmat.2010.12.054, ,None,Fundamental mechanisms of bonding of glass fiber reinforced polymer reinforcement to concrete,Construction and Building Materials
10.1016/j.conbuildmat.2012.09.045, ,None,A state-of-the-art review on roughness quantification methods for concrete surfaces,Construction and Building Materials
10.1016/j.conbuildmat.2014.08.035, ,None,Thermal oxidative aging mechanism of crumb rubber/SBS composite modified asphalt,Construction and Building Materials
10.1016/j.conbuildmat.2012.04.086, ,None,On the aspect ratio effect of multi-walled carbon nanotube reinforcements on the mechanical properties of cementitious nanocomposites,Construction and Building Materials
10.1016/j.conbuildmat.2013.03.087, ,None,"Production, environmental impact and mechanical properties of glubam",Construction and Building Materials
10.1016/j.conbuildmat.2014.04.114, ,None,Polymer mortars prepared using a polymeric resin and particles obtained from waste pet bottle,Construction and Building Materials
10.1016/j.conbuildmat.2012.08.037, ,None,Textile waste as an alternative thermal insulation building material solution,Construction and Building Materials
10.1016/j.conbuildmat.2012.12.015, ,None,"Early age setting, shrinkage and tensile characteristics of ultra high performance fiber reinforced concrete",Construction and Building Materials
10.1016/j.conbuildmat.2010.03.014, ,None,Nanotechnology in concrete – A review,Construction and Building Materials
10.1016/j.conbuildmat.2014.02.014, ,None,Failure analysis of typical glubam with bidirectional fibers by off-axis tension tests,Construction and Building Materials
10.1016/j.conbuildmat.2011.04.044, ,None,Effect of heat treatment on reactivity-strength of alkali-activated natural pozzolans,Construction and Building Materials
10.1016/j.conbuildmat.2013.10.053, ,None,Failure of rammed earth walls: From observations to quantifications,Construction and Building Materials
10.1016/j.conbuildmat.2013.09.007, ,None,Recycled Tyre Rubber Modified Bitumens for road asphalt mixtures: A literature review,Construction and Building Materials
10.1016/j.conbuildmat.2012.04.008, ,None,A new DEM-based method to predict packing density of coarse aggregates considering their grading and shapes,Construction and Building Materials
10.1016/j.conbuildmat.2012.09.066, ,None,Investigation of relationships between high strength self consolidating concrete compressive strength and macroscopic internal structure,Construction and Building Materials
10.1016/j.conbuildmat.2013.02.018, ,None,Flexural ductility fundamental mechanisms governing all RC members in particular FRP RC,Construction and Building Materials
10.1016/j.conbuildmat.2012.09.029, ,None,Stress wave testing of concrete: A 25-year review and a peek into the future,Construction and Building Materials
10.1016/j.conbuildmat.2014.05.094, ,None,Residual compressive and shear strengths of novel coconut-fibre-reinforced-concrete interlocking blocks,Construction and Building Materials
10.1016/j.conbuildmat.2013.02.024, ,None,UGR-FACT test for the study of fatigue cracking in bituminous mixes,Construction and Building Materials
10.1016/j.conbuildmat.2012.11.114, ,None,Use of low grade hardwoods for fabricating laminated railway ties,Construction and Building Materials
10.1016/j.conbuildmat.2014.10.033, ,None,Smeared crack material modelling for the nonlinear analysis of CFRP-strengthened historical brick vaults with adobe piers,Construction and Building Materials
10.1016/j.conbuildmat.2010.04.007, ,None,"Modeling, analysis of interaction effects of several chemical additives on the strength development of silicate cement",Construction and Building Materials
10.1016/j.conbuildmat.2014.11.003, ,None,Modeling of volume changes of concrete mixed with expansive additives,Construction and Building Materials
10.1016/j.conbuildmat.2013.06.009, ,None,Numerical modelling of the hygro-thermal response of timber bridges during their service life: A monitoring case-study,Construction and Building Materials
10.1016/j.conbuildmat.2009.12.034, ,None,Development of a penetration test for timber impregnation products for use in old buildings,Construction and Building Materials
10.1016/j.conbuildmat.2013.12.085, ,None,Evaluation of visual methods for CO2 uptake by demolished concrete: Research activities by JSCE subcommittee 219,Construction and Building Materials
10.1016/j.conbuildmat.2014.03.043, ,None,Correlation between rheology and chemical composition of aged polymer-modified asphalts,Construction and Building Materials
10.1016/j.conbuildmat.2013.09.036, ,None,Bridge decks of fibre reinforced polymer (FRP): A sustainable solution,Construction and Building Materials
10.1016/j.conbuildmat.2009.08.028, ,None,Rutting prediction of a granular material for base layers of low-traffic roads,Construction and Building Materials
10.1016/j.conbuildmat.2013.07.053, ,None,The effects of grinding on the properties of Portland-limestone cement,Construction and Building Materials
10.1016/j.conbuildmat.2014.01.016, ,None,Transverse strain sensitivity of steel fiber reinforced cement composites tested by compression and split tensile tests,Construction and Building Materials
10.1016/j.conbuildmat.2014.01.087, ,None,Characterisation and technical feasibility of using biomass bottom ash for civil infrastructures,Construction and Building Materials
10.1016/j.conbuildmat.2011.08.062, ,None,Torsional behavior of steel fiber reinforced concrete beams,Construction and Building Materials
10.1016/j.conbuildmat.2010.11.081, ,None,Effect of bond and corrosion within partial length on shear behaviour and load capacity of RC beam,Construction and Building Materials
10.1016/j.conbuildmat.2009.09.010, ,None,Durability of blast-furnace slag mortars subjected to sodium monofluorophosphate application,Construction and Building Materials
10.1016/j.conbuildmat.2014.08.011, ,None,Using GGBOS as the alkali activators in GGBS and GGBOS blended cements,Construction and Building Materials
10.1016/j.conbuildmat.2014.08.025, ,None,In situ materials characterization of full-scale recycled aggregates concrete structures,Construction and Building Materials
10.1016/j.conbuildmat.2012.06.072, ,None,Protective performance of polyurethane waterproofing membrane against carbonation in cracked areas of mortar substrate,Construction and Building Materials
10.1016/j.conbuildmat.2014.02.072, ,None,Static analysis of adhesively bonded anchorages for CFRP tendons,Construction and Building Materials
10.1016/j.conbuildmat.2013.02.043, ,None,Review on advances in modeling and simulation of stone-based paving materials,Construction and Building Materials
10.1016/j.conbuildmat.2011.05.001, ,None,Mechanical activation of cement–slag mortars,Construction and Building Materials
10.1016/j.conbuildmat.2014.04.118, ,None,Influence of clay minerals addition on mechanical properties of air lime–metakaolin mortars,Construction and Building Materials
